# TESS Program G022062

Title: Eclipsing Binary Stars: Indispensable Astrophysical Labs

PI: Prsa, Andrej - Villanova University

Type: LARGE

Summary: Eclipsing binary stars (EBs) have served as principal gauges of fundamental stellar properties: the benchmark-grade systems allow an accuracy in masses and radii to exceed 2%, in turn providing stringent constraints on stellar evolution models. This is a multi-faceted proposal that builds on three principal aims: (1) extract known EB light curves from full-frame images; (2) run a search for unknown EBs within the full-frame images and extract their light curves; and (3) acquire 2-min cadence observations for a priority-sorted list of EBs that will serve as calibration standards, galactic population tracers and follow-up of well-studied, important systems, especially those observed by Kepler.
27308818,294.8804,50.2669,11.08,G022062
273131564,297.3132,46.4482,12.02,G022062
273231214,297.3331,41.8911,11.79,G022149;G022062;G022053
273371098,297.531,46.0175,11.96,G022062
273372402,297.508,46.5215,12.02,G022062
273373040,297.5496,46.7828,12.03,G022062
273373712,297.5098,47.0544,11.96,G022062
273376048,297.6944,47.8789,11.72,G022062
273379486,297.7258,46.5489,11.15,G022062
273501820,297.7411,42.9961,11.05,G022062
273574141,297.9232,43.2562,11.08,G022062
273583841,297.8999,45.4665,11.16,G022062
273594336,297.9296,47.3906,9.72,G022062
273684561,297.9904,46.6103,11.24,G022062
273684688,298.0969,46.5649,11.21,G022062
273687627,297.966,45.5456,11.56,G022062;G022204
273778807,298.2075,42.2011,11.61,G022062
273782052,298.1156,42.9787,10.9,G022062
273865522,298.2066,44.6647,11.1,G022062
273872891,298.1489,47.2772,10.45,G022062
273874851,298.3713,47.8138,11.4,G022062
273875270,298.3585,47.6385,11.58,G022062
27396969,295.1429,49.9931,11.11,G022062
27397122,295.2166,50.0843,11.75,G022062
27397490,295.2125,50.3168,11.18,G022062
274024023,298.4224,44.3277,11.84,G022062
274031155,298.3242,42.3885,10.85,G022062
274120769,298.5506,42.5611,8.85,G022062
274120780,298.5493,42.5635,9.74,G022062
274127085,298.4551,44.3134,9.58,G022062
274129522,298.4485,45.1042,11.53,G022062;G022204
27531506,295.572,49.4782,10.6,G022062
27533666,295.5987,50.7206,10.35,G022062
275488116,293.0522,46.9335,10.51,G022062
275489982,293.0928,45.6918,11.72,G022062
275537496,304.7986,44.263,10.83,G022062
275575030,293.221,45.8438,11.85,G022062
275576176,293.2332,46.6001,12.02,G022062;G022204
275658545,304.7069,46.3221,6.58,G022062
27639466,295.7964,50.8959,10.28,G022062
27695471,296.0861,51.1271,9.15,G022062;G022103
27766908,296.1397,50.3858,12.04,G022062
27767184,296.0071,50.2327,9.96,G022062
27769688,296.1328,48.9773,11.35,G022149;G022053;G022062
27843942,296.4419,51.2243,11.83,G022062;G022208
27844498,296.4907,50.9059,11.19,G022062
27845677,296.4643,50.2861,11.2,G022062;G022204
27845826,296.3859,50.2049,11.82,G022062
27846645,296.4534,49.7865,10.65,G022062
27914890,296.7702,48.9222,10.51,G022062
27915909,296.826,48.4434,10.39,G022003;G022062;G022204
28159019,297.3154,49.706,11.24,G022062
28230919,297.7104,48.0821,8.51,G022062;G022200;G022053
28233980,297.7151,49.5737,12.57,G022062
28306907,297.8357,49.5458,11.77,G022062
28356314,297.9449,48.5577,11.72,G022062
28359831,298.0926,48.1045,10.83,G022062
28449295,298.2774,48.6408,11.51,G022062
28449614,298.236,48.4984,11.0,G022062
290032774,290.6631,50.7047,11.91,G022062
290034099,290.5489,49.4762,11.0,G022062
290035575,290.6963,48.203,10.66,G022062
294601335,302.2198,49.9232,11.98,G022062;G022204
295111026,302.9876,48.1176,11.47,G022062
295802147,303.9137,48.6064,11.48,G022062
295803225,303.8413,48.2871,10.46,G022003;G022062;G022039
296013024,304.2254,50.2776,7.48,G022062
298967445,288.5069,49.0949,9.95,G022062;G022208
299032481,288.5773,48.1294,11.55,G022062
299154631,289.0934,49.4246,6.32,G022062
299156852,289.1583,48.097,8.82,G022062
299219025,289.3941,50.368,11.78,G022062;G022204
299219279,289.3812,50.1893,10.54,G022062
303252818,299.9727,49.3916,11.89,G022062
350738423,291.2419,50.9334,10.05,G022062
350810416,291.1362,49.3662,9.92,G022062
350810590,291.2502,49.2318,11.68,G022149;G022062;G022053
351193224,296.6776,50.3505,8.83,G022232;G022062
351297515,300.4202,49.3928,11.9,G022062
352015343,285.5426,47.2875,7.21,G022062
352165018,305.2529,49.2052,9.2,G022062
364763181,299.577,49.4317,9.64,G022062
377912448,294.3321,41.6855,11.9,G022062
377912676,294.3562,41.7772,10.61,G022062
406947878,290.2985,47.9787,9.39,G022062
407000096,290.3973,50.0651,10.96,G022062
407002016,290.3996,48.4659,9.71,G022062
416283814,289.6666,48.7296,11.77,G022062
416528957,298.9635,48.1331,10.93,G022062
417676216,291.0413,48.718,11.67,G022062
417676622,291.0323,49.0402,9.51,G022062;G022053
417676658,290.9891,49.0728,11.46,G022062
424865156,292.2472,47.9696,10.03,G022062;G022053
63071112,291.9269,47.347,9.99,G022062
63071165,291.9354,47.3101,11.0,G022232;G022062;G022121;G022204
63072266,291.9969,46.5198,9.87,G022062
63074282,291.991,45.2341,11.73,G022062
63125816,292.2263,43.9953,10.36,G022062;G022121
63126950,292.1394,44.6727,8.28,G022062;G022204
63129375,292.1343,46.2024,11.51,G022062
63205800,292.3164,46.6222,11.87,G022062
63209318,292.308,44.4802,11.53,G022062
63291675,292.4918,47.8353,11.19,G022062;G022204
63366439,292.6174,44.002,10.79,G022062
63367810,292.612,43.3052,10.24,G022062
63368767,292.63,42.8293,11.01,G022062
63368895,292.615,42.7644,9.65,G022062
63370066,292.6311,42.1808,11.87,G022062
63449090,292.8626,44.2209,11.07,G022062
63451547,292.7854,45.6301,11.93,G022062
63454475,292.8181,47.481,6.63,G022062
233282561,300.2118,55.6894,9.84,G022062
233898009,304.4596,54.3227,6.28,G022062;G022103
233904049,304.7456,56.6055,9.42,G022062
267556582,311.6498,54.8765,7.72,G022062
276914715,309.4765,54.4986,9.75,G022062
277422933,310.8387,55.3575,11.68,G022164;G022252;G022062
277565268,311.1239,54.1018,9.33,G022062
278678404,307.932,50.8703,11.93,G022062
288778712,314.6518,51.5919,9.7,G022062
290277380,316.1371,50.7842,7.63,G022062
303351921,308.3655,50.6834,9.03,G022062
303833577,308.9879,49.0115,10.19,G022062
312286761,313.3471,48.5147,11.42,G022062
314459000,319.1215,55.3862,9.42,G022062
315777423,321.0969,56.3615,8.28,G022062
322845246,309.6752,48.6883,11.09,G022062
344376832,317.628,57.7192,10.47,G022062
344456744,317.7574,55.3322,7.83,G022062
352152521,305.3089,52.4105,6.66,G022062
357979050,316.8357,52.0498,8.7,G022062
365034219,311.2933,48.0868,11.05,G022062
365278098,306.1431,54.483,9.96,G022062
365787759,324.2181,52.0105,11.43,G022062
375422201,315.8822,59.4307,9.2,G022062
63328020,320.06,51.3947,11.55,G022062
198354348,255.9705,57.3654,10.24,G022003;G022062
198354443,256.1297,57.0727,11.39,G022062
198386704,257.9775,57.9679,6.67,G022062
198388252,258.1954,57.0527,11.64,G022062
198408416,258.9132,58.8646,12.08,G022062
198416591,260.092,57.9739,8.3,G022062
198418712,260.8445,57.0118,6.25,G022062;G022223
198457457,261.8349,56.3751,9.4,G022062;G022208
199661829,251.2555,57.1129,11.79,G022062
199688409,253.0515,57.7255,12.05,G022062
199709055,253.5448,56.3649,11.9,G022062
199716496,254.391,59.5313,10.64,G022062
219750638,261.1125,64.2067,9.95,G022062
224605072,255.5992,58.8699,11.43,G022062
229687624,262.9887,57.1784,8.98,G022062
232629077,268.981,56.036,8.04,G022062
232634196,269.4385,56.1961,9.92,G022062
233679640,260.3366,60.0582,10.88,G022062
329246824,263.8847,57.8026,11.03,G022062
329248002,263.8179,55.0034,8.8,G022062
353854078,271.1411,58.3985,9.83,G022062
353939279,272.315,58.0175,9.37,G022062
357527284,270.1372,56.4553,7.63,G022062
359313470,267.9367,56.1202,6.83,G022062
219109908,271.3763,69.7542,10.23,G022062
219859691,257.819,69.5032,9.05,G022030;G022062
219900027,263.8386,68.6387,11.2,G022062
229585542,271.5271,72.5847,10.02,G022062
229751802,280.8019,69.9322,9.02,G022062
229776076,282.7475,69.8828,9.35,G022030;G022062
229793060,284.7193,69.5314,6.62,G022135;G022062
233207585,266.0012,70.2593,10.2,G022062
233208885,266.3517,69.3062,11.33,G022062
233233639,267.2584,67.4366,11.45,G022062
237277760,299.1197,73.6159,8.7,G022062;G022208
237278994,299.6589,72.2383,10.18,G022062;G022208
256298934,276.4872,68.9619,11.26,G022062
288391801,267.2346,78.1229,11.41,G022062
329153513,268.2669,77.3841,8.9,G022062
356820646,269.5245,73.1237,11.22,G022062
160472514,237.706,72.2112,9.38,G022062;G022173;G022208
257002707,223.932,76.3064,8.35,G022062
257023157,225.2483,73.0534,7.67,G022062;G022103
272650576,233.2397,70.7043,8.88,G022062
161687311,235.9485,58.0243,9.22,G022062
198158346,242.8965,61.1994,7.67,G022062
202442615,227.9579,61.8575,7.67,G022062
202442617,227.9569,61.862,8.2,G022135;G022062
202442974,227.9349,63.622,7.95,G022062
202505095,230.6553,62.0469,6.04,G022062;G022133;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
202506847,231.0708,60.5504,6.58,G022062
207496306,246.934,56.7664,11.07,G022062
207496824,246.9546,58.8398,10.75,G022062
219738202,241.5722,62.7629,10.45,G022062
405526704,234.4325,57.1138,10.78,G022062
458481461,233.4629,63.9073,7.14,G022062;G022103
159209448,203.0088,59.8444,8.51,G022062
166074503,213.7572,61.3011,8.52,G022062
202299805,225.1607,57.7753,11.57,G022062
207384197,207.2536,60.8552,10.92,G022062
309720946,213.2904,53.6319,11.88,G022062
310392862,214.1865,53.2636,7.61,G022062
405504882,224.6669,56.752,9.4,G022062
441687696,212.0112,56.5301,11.44,G022062
441690583,212.6238,54.9128,11.25,G022062
441694508,213.2499,55.3253,7.7,G022062;G022238
441704810,215.4994,53.5212,7.67,G022062
148963419,190.061,66.286,10.62,G022062
153991851,204.737,69.8031,9.8,G022062
154511165,187.1025,74.2354,11.95,G022062
137729154,174.1477,56.1332,7.49,G022062
138578906,175.7594,60.5769,9.1,G022062;G022208
147625755,184.1521,64.8576,11.02,G022062;G022208
55753802,181.5822,57.1765,9.69,G022062;G022208
55778901,182.2596,56.0318,11.14,G022062
150388753,193.9126,54.9613,6.75,G022115;G022062
157871565,191.0572,51.7583,6.16,G022062
157880551,191.9503,50.1569,6.43,G022062
159190005,200.9858,54.9217,3.83,G022109;G022148;G022062
159190692,201.4375,56.9706,6.55,G022062;G022038;G022080
198104956,196.1768,51.2026,8.19,G022062
219033506,206.9145,51.8096,11.43,G022062
219823570,203.9103,49.2348,10.24,G022062;G022232
316333039,188.2281,54.7952,7.99,G022062;G022103

# Sector 016 targets observed (323)
197556869,335.954,49.9754,10.21,G022062
197755658,337.0072,53.6833,11.32,G022062
197757000,337.2079,53.7711,10.42,G022062;G022208
252554485,345.0996,48.3027,9.65,G022062
252668569,346.7718,50.9586,10.06,G022062
278950133,333.0406,53.6988,9.26,G022062
316660881,335.5892,55.3941,12.05,G022062
324596129,330.1153,53.293,12.06,G022062
326374705,331.8016,52.6356,8.6,G022062
329770815,332.9933,54.6416,12.02,G022062
330135088,333.5055,57.1203,9.14,G022062
330234754,333.4498,55.7391,10.78,G022062
331069412,334.1835,55.4771,9.05,G022062
331075830,334.2772,54.2093,9.74,G022062
341679932,329.5942,52.5673,10.43,G022062
343127696,334.5258,55.9043,9.93,G022062
343549114,341.5699,56.8521,10.14,G022062
343553606,341.5028,57.7805,11.14,G022062
343661464,341.7254,58.0843,8.25,G022062
343667351,341.625,56.8255,10.23,G022062
343878395,341.9565,58.1471,9.78,G022062;G022172
367691816,343.9372,56.4768,9.96,G022062
371480725,342.873,57.0049,9.88,G022062;G022208
388196465,326.1425,54.2194,11.06,G022062
388705796,340.4565,56.2761,12.06,G022062
395232198,335.2905,55.5511,9.41,G022062;G022172
414281010,336.7812,54.1816,10.44,G022062
415165528,337.2365,56.6032,9.03,G022062
416028609,339.2248,56.9058,8.36,G022062;G022020
428064231,339.1199,52.6412,10.94,G022062
428102518,338.9725,50.0708,6.33,G022062
430808126,333.9932,53.3119,10.88,G022062
431040288,334.7816,52.1203,9.15,G022062
431062092,334.6847,50.4206,11.38,G022062
431159508,340.2463,50.7579,11.18,G022062
431338625,344.1109,52.1318,11.14,G022062
467473505,336.4933,53.7816,7.98,G022062
468848368,338.9284,53.2043,7.62,G022062
469684576,329.624,54.4849,8.51,G022062
469803910,330.0194,55.0197,7.24,G022062
63971857,337.5238,54.7901,9.74,G022062;G022172
63972389,337.6005,54.632,11.47,G022062
63972440,337.6094,54.6184,11.18,G022062
64366964,338.0262,53.9591,10.5,G022062
64558216,338.4198,56.5263,9.71,G022062
64951042,339.0672,57.0356,11.57,G022062;G022204
66080183,340.6611,53.4173,11.16,G022062
66355834,341.238,49.6576,9.98,G022062
66545120,341.6391,52.158,11.24,G022062
136466789,317.4944,45.5026,6.82,G022062
137270992,318.3538,44.0235,11.29,G022062
138465692,319.7668,43.7635,9.99,G022062
138745625,320.138,42.2775,9.09,G022062
138951779,320.538,42.142,12.04,G022062;G022204
190734021,325.709,41.9921,10.62,G022062;G022204
240270076,322.2809,47.1647,9.52,G022062
240328699,322.6077,44.875,6.47,G022062
273173532,315.9742,46.3305,7.79,G022062
274293292,316.7187,45.6755,6.59,G022062
274727801,316.8489,47.2775,7.29,G022062
278068108,324.3886,49.082,11.27,G022062
278075650,324.464,48.4034,12.14,G022062
278076037,324.4974,48.4872,7.53,G022062
305386053,327.1406,40.9768,11.99,G022062
329613266,314.6812,44.4145,6.49,G022062
330829235,328.9914,43.0474,11.89,G022062
330889465,329.464,46.8644,7.59,G022062
331221558,330.0187,44.5522,8.06,G022161;G022062
331532483,330.3785,43.8906,7.84,G022062
346193330,327.4951,43.9658,7.79,G022062
352964170,321.4649,39.5815,11.38,G022062
357457104,315.5409,45.7757,9.52,G022062
357764053,321.4368,47.712,12.16,G022062
365787759,324.2181,52.0105,11.43,G022062
394881270,324.9436,48.5399,9.29,G022062
416977316,322.9565,48.4817,8.79,G022062;G022171
417209205,323.0247,48.1115,10.27,G022062
417277789,323.2424,49.8988,10.76,G022062
417436387,323.4809,50.7511,9.19,G022062
417497545,323.505,49.9332,9.64,G022062
468792279,332.3135,44.8465,6.75,G022062
63445000,319.9917,48.6347,6.92,G022062
63916460,320.7855,48.5188,7.35,G022062
84070123,327.3106,41.138,10.83,G022062
239637752,333.6182,33.9416,8.21,G022062;G022103
257060367,329.9251,36.284,10.04,G022062
372366518,331.9805,36.6856,11.56,G022062
127365016,350.0053,41.7549,7.13,G022062
129409890,343.0618,38.7457,8.16,G022062
129455317,343.4241,37.9386,8.43,G022062
154096314,341.5766,43.8686,8.0,G022062
173301640,346.825,46.0681,6.71,G022062
173419202,347.5516,47.5705,8.56,G022062;G022208
173521768,348.3455,46.1475,11.23,G022062
173795590,349.9608,44.1259,10.94,G022062
173797509,349.8858,45.9254,11.39,G022062
174154338,351.6492,47.3007,7.94,G022161;G022062
174157888,351.7779,45.5562,10.78,G022062
174266604,352.1147,45.3777,9.95,G022062
176551075,353.0054,43.8223,8.43,G022062
176640151,353.352,42.8476,6.55,G022062
176752680,354.1158,44.1234,9.77,G022062;G022208
176854066,354.7032,44.4126,8.83,G022062
333374017,353.6726,37.8004,6.68,G022062
374265995,347.8844,36.8928,9.14,G022062
428003183,349.2207,44.4883,10.71,G022062
431374523,348.5945,48.3978,8.46,G022062;G022109;G022148
455790537,346.3452,47.6763,10.74,G022062
229793060,284.7193,69.5314,6.62,G022135;G022062
236872887,302.914,63.5274,7.7,G022135;G022062
237215017,294.7801,76.4228,7.24,G022062
237277760,299.1197,73.6159,8.7,G022062;G022208
237278994,299.6589,72.2383,10.18,G022062;G022208
256352113,322.7467,70.8232,6.98,G022062
258351350,296.5108,69.9193,7.93,G022062
258773798,286.1776,66.3019,11.36,G022062
259126645,291.4795,68.9355,9.1,G022062
269697721,301.6155,70.6597,7.68,G022062
280033934,297.5902,70.288,10.52,G022062
352762746,308.5907,64.6446,10.0,G022135;G022062
352979549,310.8266,72.3751,10.84,G022062
165310952,299.243,54.7996,8.45,G022062
229461186,295.1026,60.9203,10.85,G022062;G022208
229913521,287.4277,64.8589,9.91,G022062
229944718,288.1841,62.2707,10.37,G022062
232637164,281.123,56.779,7.89,G022062
233282561,300.2118,55.6894,9.84,G022062
233310793,300.8151,58.9546,11.64,G022062
233539736,281.0183,60.7701,10.48,G022135;G022062
233574062,282.1553,61.87,10.41,G022062
243319567,289.7004,55.5945,10.9,G022062
243352373,290.2687,56.3285,10.23,G022062;G022208
243352809,290.4019,56.843,11.34,G022062
267808239,293.1229,56.3881,9.58,G022062
27843942,296.4419,51.2243,11.83,G022062;G022208
284364590,290.7668,56.1347,10.4,G022062;G022103
359634548,280.7345,55.4514,6.61,G022062
376979172,284.3017,56.2328,7.95,G022062
377190161,285.6751,58.7328,10.11,G022062;G022208
377192659,285.9148,57.4572,8.36,G022062
377251803,286.2642,57.126,9.05,G022062
377253090,286.1923,58.9513,11.84,G022062
377296926,286.8154,55.0128,11.98,G022062
377307592,286.9862,59.3978,11.73,G022062
392536812,280.4675,58.0563,11.22,G022062
424721218,294.6015,56.5403,11.64,G022062
233898009,304.4596,54.3227,6.28,G022062;G022103
233904049,304.7456,56.6055,9.42,G022062
266920154,306.0495,48.9239,9.45,G022062
267556582,311.6498,54.8765,7.72,G022062
276914715,309.4765,54.4986,9.75,G022062
277280059,310.0705,54.2212,10.62,G022062
277422933,310.8387,55.3575,11.68,G022164;G022252;G022062
277565268,311.1239,54.1018,9.33,G022062
278678404,307.932,50.8703,11.93,G022062
279176696,313.7879,46.3499,6.18,G022062
288778712,314.6518,51.5919,9.7,G022062
289549470,315.4096,47.9131,8.84,G022062
290277380,316.1371,50.7842,7.63,G022062
294601335,302.2198,49.9232,11.98,G022062;G022204
295121410,302.9461,51.9053,12.01,G022062
295527759,303.546,51.7867,10.16,G022062
296013024,304.2253,50.2776,7.48,G022062
297401717,313.1868,46.1131,7.89,G022062
303351921,308.3655,50.6834,9.03,G022062
303833577,308.9879,49.0115,10.19,G022062
312286761,313.3471,48.5147,11.42,G022062
314459000,319.1215,55.3862,9.42,G022062
322845246,309.6752,48.6883,11.09,G022062
344456744,317.7574,55.3322,7.83,G022062
352152521,305.3089,52.4105,6.66,G022062
352165018,305.2529,49.2052,9.2,G022062
357874605,316.917,48.855,6.92,G022062
357979050,316.8357,52.0498,8.7,G022062
365034219,311.2933,48.0868,11.05,G022062
365278098,306.1431,54.483,9.96,G022062
63328020,320.06,51.3947,11.55,G022062
276119305,328.9647,57.5456,11.99,G022062
305633328,315.5995,60.0783,10.89,G022062
316413192,321.931,57.3214,7.67,G022062
316783284,322.2406,58.7398,7.16,G022062
322055308,323.8583,68.2194,6.54,G022062
335265326,332.19,61.0224,7.28,G022062
335995445,333.3563,62.5345,10.75,G022062
338071673,337.8158,63.5227,8.51,G022062;G022208
342332827,326.5941,56.9172,8.64,G022062
342334344,326.6692,57.2935,9.58,G022062
353863850,331.0537,59.8672,6.91,G022062;G022171
375422201,315.8822,59.4307,9.2,G022062
388245308,326.1434,54.3668,10.43,G022062
404103665,322.9838,61.5001,11.34,G022062
410522328,327.9485,61.9429,7.29,G022062;G022172
411043004,328.4504,62.6144,6.81,G022062;G022172;G022171
412638697,329.6424,60.9505,11.3,G022062
421718004,324.7616,54.9671,11.72,G022062
427093395,321.0604,63.535,9.72,G022062
455824124,322.4672,64.9212,9.69,G022062
469857617,330.105,59.6917,11.48,G022062
198386704,257.9775,57.9679,6.67,G022062
198388252,258.1954,57.0527,11.64,G022062
198408416,258.9132,58.8646,12.08,G022062
198410462,259.2014,54.7708,11.21,G022062
198416591,260.092,57.9739,8.3,G022062
198418712,260.8445,57.0118,6.25,G022062;G022223
198457457,261.8349,56.3751,9.4,G022062;G022208
219750638,261.1125,64.2067,9.95,G022062
229687624,262.9887,57.1784,8.98,G022062
232629077,268.981,56.036,8.04,G022062
232634196,269.4385,56.1961,9.92,G022062
233532554,280.4475,62.6764,9.6,G022062
233679640,260.3366,60.0582,10.88,G022062
284890361,260.4364,54.5592,11.66,G022232;G022062;G022208
298666271,278.3516,58.7066,8.77,G022062
298734307,278.6094,57.8018,7.21,G022062
329246824,263.8847,57.8026,11.03,G022062
329248002,263.8179,55.0034,8.8,G022062
353854078,271.1411,58.3985,9.83,G022062
353939279,272.315,58.0175,9.37,G022062
356896550,273.1198,54.7815,9.88,G022062
356896561,273.1707,54.7685,9.15,G022062
356920361,273.6707,56.5884,6.31,G022062
357527284,270.1372,56.4553,7.63,G022062
359313470,267.9367,56.1202,6.83,G022062
389916225,275.7725,58.9035,10.1,G022062
389917311,275.9931,58.8243,7.38,G022062
390021728,277.7935,56.4175,11.54,G022062;G022208
399788405,278.1634,57.6482,11.39,G022062
424461577,279.7344,60.3981,10.15,G022062
219109908,271.3763,69.7542,10.23,G022062
219859691,257.819,69.5032,9.05,G022030;G022062
219900027,263.8386,68.6387,11.2,G022062
229585542,271.5271,72.5847,10.02,G022062
229751802,280.8019,69.9322,9.02,G022062
229776076,282.7475,69.8828,9.35,G022030;G022062
233207585,266.0012,70.2593,10.2,G022062
233208885,266.3517,69.3062,11.33,G022062
233233639,267.2584,67.4366,11.45,G022062
256298934,276.4872,68.9619,11.26,G022062
288391801,267.2346,78.1229,11.41,G022062
329153513,268.2669,77.3841,8.9,G022062
356820646,269.5245,73.1237,11.22,G022062
441734144,258.558,76.7038,10.59,G022062
160472514,237.706,72.2112,9.38,G022062;G022173;G022208
202442615,227.9579,61.8575,7.67,G022062
202442617,227.9569,61.862,8.2,G022135;G022062
202442974,227.9349,63.622,7.95,G022062
202505095,230.6553,62.0469,6.04,G022062;G022133;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
257023157,225.2483,73.0534,7.67,G022062;G022103
272650576,233.2397,70.7043,8.88,G022062
272781956,238.24,68.725,9.4,G022062;G022208
458481461,233.4629,63.9073,7.14,G022062;G022103
161687311,235.9485,58.0243,9.22,G022062
161744580,238.2961,54.1517,11.89,G022062
198158346,242.8965,61.1994,7.67,G022062
198242678,249.7668,60.6993,7.89,G022062;G022173;G022103
198279946,250.2761,62.308,6.78,G022135;G022062
198280388,250.2744,60.6062,11.28,G022062
198354348,255.9706,57.3654,10.24,G022003;G022062
198354443,256.1297,57.0727,11.39,G022062
199574208,248.5734,57.1688,10.16,G022076;G022062;G022039;G022145;G022240;G022069
199610180,249.0439,57.3217,8.13,G022062
199612934,249.4326,55.796,11.7,G022062
199661829,251.2555,57.1129,11.79,G022062
199662929,251.4096,54.5256,10.54,G022062
199663151,251.4088,55.3136,6.59,G022062
199688409,253.0515,57.7255,12.05,G022062
199709055,253.5448,56.3649,11.9,G022062
199716496,254.391,59.5313,10.64,G022062
207398432,241.9669,55.4471,10.19,G022062;G022204
207496306,246.934,56.7664,11.07,G022062
207496824,246.9546,58.8398,10.75,G022062
219738202,241.5722,62.7629,10.45,G022062
224605072,255.5992,58.8699,11.43,G022062
232572560,247.9817,52.9909,8.3,G022062;G022171
405526704,234.4325,57.1138,10.78,G022062
116415984,232.1848,47.2015,6.07,G022062
155915231,221.3891,51.179,10.57,G022062
159854359,236.7941,53.0365,10.02,G022062
161058448,223.787,53.683,7.02,G022080;G022062
161668117,226.7098,47.6379,9.13,G022062
193948188,228.9992,50.5276,10.32,G022156;G022062
193990389,230.5245,51.1823,8.91,G022062
235568144,234.0173,52.0703,6.38,G022062
255806138,219.442,52.0329,7.71,G022062
283819490,228.4887,53.863,9.97,G022062
286169068,227.5826,53.7277,12.12,G022062
286169292,227.7657,52.8416,10.89,G022062
298246821,224.118,46.3623,9.65,G022062
309809572,225.2898,48.8046,11.62,G022062
310004006,224.8344,46.8178,8.56,G022062
310169616,239.272,50.0909,11.83,G022062
313404109,227.861,48.6929,8.03,G022062
357372327,218.127,50.8278,9.04,G022062
405504882,224.6669,56.752,9.4,G022062
444062991,234.551,49.1968,9.02,G022062
157273321,198.7264,59.2958,7.89,G022062
159209448,203.0088,59.8444,8.51,G022062
166074503,213.7572,61.3011,8.52,G022062
207384197,207.2536,60.8552,10.92,G022062
309720946,213.2904,53.6319,11.88,G022062
310392862,214.1865,53.2636,7.61,G022062
441687696,212.0112,56.5301,11.44,G022062
441690583,212.6238,54.9128,11.25,G022062
441694508,213.2499,55.3253,7.7,G022062;G022238
441704810,215.4994,53.5212,7.67,G022062
150388753,193.9126,54.9613,6.75,G022115;G022062
157880551,191.9503,50.1569,6.43,G022062
159190005,200.9858,54.9217,3.83,G022109;G022148;G022062
165371937,200.9877,43.5986,9.32,G022028;G022062
198104956,196.1768,51.2026,8.19,G022062
219033506,206.9145,51.8096,11.43,G022062
219823570,203.9103,49.2348,10.24,G022062;G022232
284595199,198.7775,44.0426,8.84,G022003;G022062
288434781,203.0218,46.0019,10.33,G022003;G022062
393896594,200.2114,43.9903,6.09,G022062
417118871,198.9623,43.8855,11.72,G022232;G022062
446175401,201.7204,45.5453,10.86,G022062;G022017;G022198
148781497,218.9769,46.5935,9.75,G022253;G022039;G022062
157987530,215.3934,46.9953,9.89,G022062
158035384,217.2311,47.1507,7.93,G022027;G022062
198156183,211.4356,42.3781,8.18,G022062
23753424,208.5776,40.7616,8.76,G022062
27490879,217.2899,38.2763,8.32,G022062

# Sector 017 targets observed (292)
186400103,18.8801,37.7432,8.25,G022062
400048097,18.4639,31.8195,9.53,G022039;G022062
80532557,21.4116,31.5459,7.43,G022062
15613315,16.3019,27.7675,9.62,G022062
25763486,10.6209,27.6429,6.88,G022062
267569132,9.011,29.9908,7.72,G022062
267869732,11.0716,31.3827,7.97,G022062;G022171
283862309,2.0403,31.379,7.11,G022062;G022171
365962806,3.6949,30.2797,9.01,G022062
437734634,2.2507,28.2475,6.27,G022062
437757602,5.7083,29.4542,6.79,G022062
440676719,8.1431,28.198,8.01,G022062
243240220,17.9173,22.722,7.28,G022062
333138083,11.9012,14.6397,10.05,G022062
357528774,19.1535,18.5228,7.86,G022062
436541090,13.3108,19.1463,8.77,G022062
436556047,14.6398,22.4198,8.04,G022062
58858845,20.6793,17.1972,6.71,G022062
28391714,30.1407,27.8886,8.56,G022062
353803599,24.3533,25.1666,6.19,G022062
381344833,22.9356,22.7412,7.32,G022062
456905229,26.2231,19.8568,8.09,G022062
91373945,28.71,21.3061,8.45,G022069;G022062
240733573,10.6582,52.3371,6.86,G022062
252096958,15.5381,59.9286,9.86,G022062
255802749,14.4873,60.1041,8.89,G022062
255803218,14.4191,60.238,8.28,G022062
272539879,356.4031,59.906,9.39,G022062
279192681,7.525,60.1511,7.79,G022062
284925600,12.0056,60.8617,10.68,G022062;G022208
312060302,10.1843,58.8483,11.39,G022062
320268279,7.4697,56.9668,12.02,G022062
327121759,3.3755,58.2836,11.1,G022062
327121928,3.3433,58.2093,11.72,G022062
327583823,4.8285,59.139,7.16,G022062
346934659,0.9696,57.3783,7.91,G022062
403340641,5.4178,59.2015,11.62,G022062
417585921,0.086,60.9953,10.38,G022062
421110675,11.4686,63.0857,10.65,G022062
445133704,11.1276,54.004,10.64,G022062
445181450,11.3541,58.0977,10.45,G022062
445287089,12.6639,58.1508,11.58,G022062
51955546,13.8094,61.3968,9.57,G022062
83812531,3.6771,62.331,12.08,G022062
83905462,3.9648,60.4316,10.55,G022062
127365016,350.0053,41.7549,7.13,G022062
173301640,346.825,46.0681,6.71,G022062
173419202,347.5516,47.5705,8.56,G022062;G022208
173521768,348.3455,46.1475,11.23,G022062
173795590,349.9608,44.1259,10.94,G022062
173797509,349.8858,45.9254,11.39,G022062
174154338,351.6492,47.3007,7.94,G022161;G022062
174157888,351.7779,45.5562,10.78,G022062
